Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Violet Evergarden,"['drama', 'fantasy', 'slice of life']",['kyoto animation'],tv,8.67,59,13,52
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"['action', 'fantasy']",['ufotable'],movie,8.67,60,1,97
Hajime no Ippo: New Challenger,['sports'],['madhouse'],tv,8.66,61,26,811
Howl no Ugoku Shiro,"['adventure', 'drama', 'fantasy', 'romance']",['studio ghibli'],movie,8.66,62,1,96
Evangelion: 3.0+1.0 Thrice Upon a Time,"['action', 'drama', 'sci-fi']",['khara'],movie,8.65,63,1,679
Haikyuu!! Second Season,['sports'],['production i.g'],tv,8.65,64,25,83
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,['comedy'],['a-1 pictures'],tv,8.65,65,12,107
Natsume Yuujinchou Shi,"['drama', 'slice of life', 'supernatural']","['""brains base""']",tv,8.65,66,13,877
Tengen Toppa Gurren Lagann,"['action', 'adventure', 'comedy', 'sci-fi']",['gainax'],tv,8.64,67,27,59
Natsume Yuujinchou Roku,"['drama', 'slice of life', 'supernatural']",['shuka'],tv,8.63,68,11,1178
One Piece,"['action', 'adventure', 'fantasy']",['toei animation'],tv,8.63,69,0,26
Death Note,"['supernatural', 'suspense']",['madhouse'],tv,8.63,70,37,2
Ping Pong the Animation,"['drama', 'sports']",['tatsunoko production'],tv,8.62,71,11,548
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,"['drama', 'romance', 'supernatural']",['cloverworks'],movie,8.62,72,1,299
Shingeki no Kyojin Season 3,"['action', 'drama']",['wit studio'],tv,8.62,73,12,20
Suzumiya Haruhi no Shoushitsu,"['mystery', 'romance', 'sci-fi', 'supernatural']",['kyoto animation'],movie,8.62,74,1,314
Mushishi Zoku Shou: Suzu no Shizuku,"['adventure', 'fantasy', 'mystery', 'slice of life', 'supernatural']",['artland'],movie,8.6,75,1,1553
Ookami Kodomo no Ame to Yuki,"['fantasy', 'slice of life']",['studio chizu'],movie,8.6,76,1,203
Kizumonogatari II: Nekketsu-hen,"['action', 'mystery', 'supernatural']",['shaft'],movie,8.59,77,1,468
Hajime no Ippo: Rising,['sports'],"['madhouse', 'mappa']",tv,8.58,78,25,909
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['action', 'adventure']",['david production'],tv,8.58,79,39,159
Natsume Yuujinchou Go,"['drama', 'slice of life', 'supernatural']",['shuka'],tv,8.58,80,11,1187
Natsume Yuujinchou San,"['drama', 'slice of life', 'supernatural']","['""brains base""']",tv,8.58,81,13,846
Shouwa Genroku Rakugo Shinjuu,['drama'],['studio deen'],tv,8.58,83,13,742
Yojouhan Shinwa Taikei,"['comedy', 'mystery', 'romance']",['madhouse'],tv,8.58,84,11,470
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"['action', 'sci-fi']",['gainax'],movie,8.57,85,1,999
Fate/Zero 2nd Season,"['action', 'fantasy', 'supernatural']",['ufotable'],tv,8.57,86,12,119
Fruits Basket 2nd Season,"['comedy', 'drama', 'romance', 'slice of life', 'supernatural']",['tms entertainment'],tv,8.57,87,25,464
Kimi no Suizou wo Tabetai,"['drama', 'romance', 'slice of life']",['studio voln'],movie,8.57,88,1,187
Bakuman. 3rd Season,"['comedy', 'drama', 'romance']",['j.c.staff'],tv,8.55,89,25,623
Kimetsu no Yaiba,"['action', 'fantasy']",['ufotable'],tv,8.55,90,26,9
Mushishi: Hihamukage,"['adventure', 'fantasy', 'mystery', 'slice of life', 'supernatural']",['artland'],special,8.55,91,1,1457
Neon Genesis Evangelion: The End of Evangelion,"['avant garde', 'drama', 'sci-fi']","['gainax', 'production i.g']",movie,8.55,92,1,176
Yakusoku no Neverland,"['mystery', 'sci-fi', 'suspense']",['cloverworks'],tv,8.55,93,12,39
Zoku Natsume Yuujinchou,"['drama', 'slice of life', 'supernatural']","['""brains base""']",tv,8.55,94,13,852
Sora yori mo Tooi Basho,"['adventure', 'comedy', 'drama']",['madhouse'],tv,8.54,95,13,415
Yuru Camp△ Season 2,"['comedy', 'slice of life']",['c-station'],tv,8.54,96,13,1075
Haikyuu!! To the Top 2nd Season,['sports'],['production i.g'],tv,8.54,97,12,246
Kara no Kyoukai 5: Mujun Rasen,"['action', 'drama', 'mystery', 'romance', 'supernatural', 'suspense']",['ufotable'],movie,8.54,98,1,893
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"['action', 'fantasy', 'supernatural']",['ufotable'],movie,8.53,99,1,591
Gintama.: Porori-hen,"['action', 'comedy', 'sci-fi']",['bandai namco pictures'],tv,8.53,100,13,1118
Jujutsu Kaisen 0 Movie,"['action', 'fantasy']",['mappa'],movie,8.53,101,1,496
Kenpuu Denki Berserk,"['action', 'adventure', 'drama', 'fantasy', 'horror', 'supernatural']",['olm'],tv,8.53,102,25,331
Shingeki no Kyojin,"['action', 'drama']",['wit studio'],tv,8.53,103,25,1
Slam Dunk,['sports'],['toei animation'],tv,8.53,104,101,776
Perfect Blue,"['avant garde', 'drama', 'horror']",['madhouse'],movie,8.52,105,1,317
Steins;Gate 0,"['drama', 'sci-fi', 'suspense']",['white fox'],tv,8.52,106,23,188
Gintama Movie 1: Shinyaku Benizakura-hen,"['action', 'comedy', 'sci-fi']",['sunrise'],movie,8.52,107,1,1307
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"['action', 'mystery', 'sci-fi']",['production i.g'],tv,8.52,108,26,925
Ansatsu Kyoushitsu 2nd Season,"['action', 'comedy']",['lerche'],tv,8.51,109,25,84
Banana Fish,"['action', 'adventure', 'drama']",['mappa'],tv,8.51,110,24,222
Hotaru no Haka,['drama'],['studio ghibli'],movie,8.51,111,1,303
Karakai Jouzu no Takagi-san 3,"['comedy', 'slice of life']",['shin-ei animation'],tv,8.51,112,12,1434
Nana,"['drama', 'romance', 'slice of life']",['madhouse'],tv,8.51,113,47,327
One Punch Man,"['action', 'comedy']",['madhouse'],tv,8.51,114,12,4
Uchuu Kyoudai,"['comedy', 'sci-fi', 'slice of life']",['a-1 pictures'],tv,8.51,115,99,1094
Samurai Champloo,"['action', 'adventure', 'comedy']",['manglobe'],tv,8.5,116,26,99
Shingeki no Kyojin Season 2,"['action', 'drama']",['wit studio'],tv,8.5,117,12,12
Tian Guan Ci Fu Special,"['drama', 'supernatural']",['haoliners animation league'],ona,8.5,118,1,3490
Aria the Origination,"['fantasy', 'sci-fi', 'slice of life']",['hal film maker'],tv,8.5,119,13,1550
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"['action', 'adventure', 'comedy', 'drama', 'supernatural']",['david production'],tv,8.5,120,39,132
Rainbow: Nisha Rokubou no Shichinin,"['drama', 'suspense']",['madhouse'],tv,8.49,121,26,518
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"['drama', 'fantasy', 'suspense']",['white fox'],tv,8.49,122,12,227
Mob Psycho 100,"['action', 'comedy', 'supernatural']",['bones'],tv,8.48,123,12,36
Chihayafuru 3,"['drama', 'slice of life', 'sports']",['madhouse'],tv,8.48,124,24,1501
Gintama: The Semi-Final,"['action', 'comedy']",['bandai namco pictures'],special,8.48,125,2,2532
Josee to Tora to Sakana-tachi,"['drama', 'romance', 'slice of life']",['bones'],movie,8.47,126,1,681
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,"['adventure', 'comedy', 'fantasy']",['j.c.staff'],movie,8.47,127,1,253
Mo Dao Zu Shi,"['action', 'adventure', 'mystery', 'supernatural']",['b.cmay pictures'],ona,8.47,128,15,1012
Zoku Owarimonogatari,"['comedy', 'mystery', 'supernatural']",['shaft'],movie,8.47,129,6,988
Nichijou,"['comedy', 'slice of life']",['kyoto animation'],tv,8.46,130,26,173
Owarimonogatari,"['comedy', 'mystery', 'supernatural']",['shaft'],tv,8.46,131,12,417
Saenai Heroine no Sodatekata Fine,"['comedy', 'romance', 'ecchi']",['cloverworks'],movie,8.46,132,1,1280
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"['drama', 'sci-fi']",['white fox'],movie,8.46,133,1,332
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"['drama', 'mystery', 'suspense']",['shaft'],movie,8.46,134,1,555
