Name,Genres,Studio,Type,Score,Score Rank,Num. of episodes,Popularity Rank
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"['adventure', 'comedy', 'fantasy']",['shin-ei animation'],movie,8.05,496,1,5414
Douluo Dalu: Hao Tian Yang Wei,"['action', 'adventure', 'fantasy', 'supernatural']",['sparkly key animation studio'],ona,8.05,497,13,6278
Kill la Kill,"['action', 'comedy', 'ecchi']",['trigger'],tv,8.05,499,24,48
Kodomo no Omocha (TV),"['comedy', 'drama', 'romance']",['gallop'],tv,8.05,500,102,2400
Kyou kara Ore wa!!,['comedy'],['studio pierrot'],ova,8.05,501,10,3518
Summer Wars,"['comedy', 'sci-fi']",['madhouse'],movie,8.05,502,1,371
Mobile Suit Gundam: Iron-Blooded Orphans,"['action', 'drama', 'sci-fi']",['sunrise'],tv,8.04,503,25,962
Paprika,"['avant garde', 'fantasy', 'horror', 'mystery', 'sci-fi', 'suspense']",['madhouse'],movie,8.04,504,1,393
Saint Seiya: Meiou Hades Juuni Kyuu-hen,"['adventure', 'sci-fi']",['toei animation'],ova,8.04,505,13,2577
Saiunkoku Monogatari 2nd Season,"['adventure', 'comedy', 'drama', 'fantasy', 'romance']",['madhouse'],tv,8.04,506,39,3059
Shokugeki no Souma: San no Sara,"['gourmet', 'ecchi']",['j.c.staff'],tv,8.04,507,12,150
SK∞,['sports'],['bones'],tv,8.04,508,12,414
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,"['comedy', 'romance']",['feel.'],ova,8.04,509,1,910
Detective Conan Movie 10: Requiem of the Detectives,"['adventure', 'comedy', 'mystery']",['tms entertainment'],movie,8.04,511,1,2635
Eve no Jikan,"['sci-fi', 'slice of life']",['studio rikka'],ona,8.04,512,6,1123
Full Metal Panic? Fumoffu,"['action', 'comedy']",['kyoto animation'],tv,8.04,513,12,701
Juuni Kokuki,"['action', 'adventure', 'fantasy', 'supernatural']",['studio pierrot'],tv,8.04,514,45,1401
Kara no Kyoukai 3: Tsuukaku Zanryuu,"['action', 'drama', 'mystery', 'supernatural', 'suspense']",['ufotable'],movie,8.04,515,1,937
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,"['adventure', 'comedy', 'fantasy']",['studio deen'],ova,8.04,516,1,592
Lovely★Complex,"['comedy', 'romance']",['toei animation'],tv,8.04,517,24,339
Akatsuki no Yona,"['action', 'adventure', 'comedy', 'fantasy', 'romance']",['studio pierrot'],tv,8.03,518,24,195
Baby Steps 2nd Season,['sports'],['studio pierrot'],tv,8.03,519,25,1937
Black Lagoon,['action'],['madhouse'],tv,8.03,520,12,147
Black Lagoon: Roberta's Blood Trail,['action'],['madhouse'],ova,8.03,521,5,768
Boku no Hero Academia the Movie 2: Heroes:Rising,['action'],['bones'],movie,8.03,522,1,388
D.Gray-man,"['action', 'adventure', 'comedy']",['tms entertainment'],tv,8.03,523,103,247
Date A Live IV,"['comedy', 'romance', 'sci-fi']",['geek toys'],tv,8.02,543,12,1235
Detective Conan Movie 03: The Last Wizard of the Century,"['adventure', 'comedy', 'mystery']",['tms entertainment'],movie,8.03,524,1,2406
Detective Conan Movie 04: Captured in Her Eyes,"['adventure', 'comedy', 'mystery']",['tms entertainment'],movie,8.03,525,1,2495
FLCL,"['action', 'avant garde', 'comedy', 'sci-fi']","['gainax', 'production i.g']",ova,8.03,526,6,207
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"['action', 'drama', 'sci-fi']",['production i.g'],movie,8.03,527,12,5229
Ginga Nagareboshi Gin,"['action', 'adventure', 'drama']",['toei animation'],tv,8.03,528,21,3843
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,"['fantasy', 'slice of life']",['ajia-do'],tv,8.03,529,10,2101
Kami nomi zo Shiru Sekai: Megami-hen,"['comedy', 'romance', 'supernatural']",['manglobe'],tv,8.03,530,12,602
Magi: The Labyrinth of Magic,"['action', 'adventure', 'fantasy']",['a-1 pictures'],tv,8.03,531,25,129
Toaru Kagaku no Railgun S,"['action', 'sci-fi']",['j.c.staff'],tv,8.03,532,24,529
Tsumiki no Ie,"['award winning', 'drama']",['oh! production'],movie,8.03,533,1,1872
Zombieland Saga: Revenge,"['comedy', 'supernatural']",['mappa'],tv,8.03,534,12,1090
Omae Umasou da na,"['action', 'adventure', 'fantasy']",['ajia-do'],movie,8.02,535,1,4487
Pui Pui Molcar,['comedy'],['shin-ei animation'],tv,8.02,536,12,5241
Slayers Next,"['adventure', 'comedy', 'fantasy']",['e&g films'],tv,8.02,537,26,2269
Tate no Yuusha no Nariagari,"['action', 'adventure', 'drama', 'fantasy']",['kinema citrus'],tv,8.02,538,25,74
Tokyo Magnitude 8.0,['drama'],"['bones', 'kinema citrus']",tv,8.02,539,11,711
Uma Musume: Pretty Derby (TV) Season 2,['sports'],['studio kai'],tv,8.02,540,13,3146
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"['comedy', 'drama', 'romance', 'slice of life']","['""brains base""']",tv,8.02,541,13,82
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,"['drama', 'fantasy', 'slice of life']",['studio gokumi'],movie,8.02,542,1,4926
Detective Conan Movie 15: Quarter of Silence,"['adventure', 'comedy', 'mystery']",['tms entertainment'],movie,8.02,544,1,2865
ef: A Tale of Melodies.,"['drama', 'mystery', 'romance', 'supernatural']",['shaft'],tv,8.02,545,12,1219
Evangelion: 1.0 You Are (Not) Alone,"['action', 'drama', 'sci-fi']",['khara'],movie,8.02,546,1,368
Golden Boy,"['adventure', 'comedy', 'ecchi']",['appp'],ova,8.02,547,6,597
Hachimitsu to Clover,"['comedy', 'drama', 'romance', 'slice of life']",['j.c.staff'],tv,8.02,548,24,798
Kaichou wa Maid-sama!,"['comedy', 'romance']",['j.c.staff'],tv,8.02,549,26,98
Kamisama Hajimemashita OVA,"['comedy', 'fantasy', 'romance', 'supernatural']",['tms entertainment'],ova,8.02,550,2,1567
Kara no Kyoukai Movie: Mirai Fukuin,"['drama', 'mystery', 'supernatural']",['ufotable'],movie,8.02,551,1,1689
Aria the OVA: Arietta,"['fantasy', 'sci-fi', 'slice of life']",['hal film maker'],ova,8.01,552,1,3208
Clannad,"['comedy', 'drama', 'romance', 'slice of life', 'supernatural']",['kyoto animation'],tv,8.01,554,23,77
Fullmetal Alchemist: Brotherhood Specials,"['drama', 'fantasy']",['bones'],special,8.01,555,4,1301
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,"['fantasy', 'slice of life']",['ajia-do'],tv,8.01,556,14,858
Love Live! Superstar!!,['slice of life'],['sunrise'],tv,8.01,557,12,2605
Mobile Suit Gundam: The 08th MS Team,"['adventure', 'drama', 'romance', 'sci-fi']",['sunrise'],ova,8.01,558,12,2124
Nagi no Asu kara,"['drama', 'fantasy', 'romance']",['p.a. works'],tv,8.01,560,26,320
Persona 3 the Movie 4: Winter of Rebirth,"['action', 'fantasy', 'supernatural']",['a-1 pictures'],movie,8.01,561,1,2321
Wolf's Rain OVA,"['adventure', 'drama', 'sci-fi', 'supernatural']",['bones'],ova,8.01,562,4,2361
Maoujou de Oyasumi,"['comedy', 'fantasy']",['doga kobo'],tv,8.0,563,12,1146
Ookiku Furikabutte: Natsu no Taikai-hen,"['comedy', 'sports']",['a-1 pictures'],tv,8.0,564,13,2908
School Rumble Ni Gakki,"['comedy', 'romance']",['studio comet'],tv,8.0,565,26,1272
Touch,"['drama', 'romance', 'slice of life', 'sports']","['gallop', 'group tac', 'studio junio']",tv,8.0,566,101,3370
Code Geass: Hangyaku no Lelouch III - Oudou,"['action', 'sci-fi']",['sunrise'],movie,8.0,567,1,1999
Doupo Cangqiong 4th Season,"['action', 'adventure', 'fantasy', 'romance', 'supernatural']",['motion magic'],ona,8.0,568,24,8105
Durarara!!x2 Shou,"['action', 'mystery', 'supernatural']",['shuka'],tv,8.0,569,12,405
Eve no Jikan (Movie),"['sci-fi', 'slice of life']",['studio rikka'],movie,8.0,570,1,1512
Haikyuu!! Movie 2: Shousha to Haisha,['sports'],['production i.g'],movie,8.0,571,1,2096
Hanada Shounen-shi,"['comedy', 'drama', 'slice of life', 'supernatural']",['madhouse'],tv,8.0,572,25,4862
Hibike! Euphonium,['drama'],['kyoto animation'],tv,8.0,573,13,449
High Score Girl: Extra Stage,['comedy'],['j.c.staff'],ova,8.0,574,3,2284
Kakushigoto (TV),"['comedy', 'slice of life']",['ajia-do'],tv,8.0,575,12,686
Kimi ni Todoke,"['drama', 'romance', 'slice of life']",['production i.g'],tv,8.0,576,25,167
Kobayashi-san Chi no Maid Dragon,"['comedy', 'fantasy', 'slice of life']",['kyoto animation'],tv,8.0,577,13,104
Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,"['action', 'sci-fi']",['production i.g'],special,8.0,578,1,3613
Douluo Dalu: Shan Yu Yu Lai,"['action', 'adventure', 'fantasy', 'romance']",['sparkly key animation studio'],ona,7.99,579,13,7775
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,"['action', 'drama', 'sci-fi']",['production i.g'],movie,7.99,580,4,3960
High Score Girl II,['comedy'],['j.c.staff'],tv,7.99,581,9,1531
Kimi ni Todoke 2nd Season,"['drama', 'romance', 'slice of life']",['production i.g'],tv,7.99,582,12,450
Koukaku Kidoutai 2.0,"['action', 'sci-fi']",['production i.g'],movie,7.99,583,1,1955
Major Movie: Yuujou no Winning Shot,"['action', 'sports']",['xebec'],movie,7.99,584,1,4282
Promare,"['action', 'sci-fi']",['trigger'],movie,7.99,585,1,822
ReLIFE,"['drama', 'romance', 'slice of life']",['tms entertainment'],tv,7.99,586,13,138
Sakasama no Patema,"['adventure', 'sci-fi']","['studio rikka', 'purple cow studio japan']",movie,7.99,587,1,756
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,"['gourmet', 'ecchi']",['j.c.staff'],tv,7.99,588,12,254
xxxHOLiC,"['comedy', 'drama', 'mystery', 'supernatural']",['production i.g'],tv,7.99,589,24,674
Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,"['drama', 'romance']",['studio deen'],ova,7.98,590,2,2027
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,['sports'],['m.s.c'],ova,7.98,591,7,3276
Working!!!,"['comedy', 'romance', 'slice of life']",['a-1 pictures'],tv,7.98,593,13,849
Akagami no Shirayuki-hime 2nd Season,"['drama', 'fantasy', 'romance']",['bones'],tv,7.98,594,12,593
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,"['comedy', 'slice of life']",['hal film maker'],special,7.98,595,1,4170
Durarara!!x2 Ten,"['action', 'mystery', 'supernatural']",['shuka'],tv,7.98,596,12,505
Kingdom,['action'],['studio pierrot'],tv,7.98,598,38,1097
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,['slice of life'],['sunrise'],tv,7.98,599,13,4020
Azumanga Daioh,"['comedy', 'slice of life']",['j.c.staff'],tv,7.97,600,26,645
Haibane Renmei,"['drama', 'fantasy', 'mystery', 'slice of life']",['radix'],tv,7.97,601,13,794
Hokuto no Ken,"['action', 'drama', 'sci-fi']",['toei animation'],tv,7.97,602,109,1519
Kanon (2006),"['drama', 'romance', 'slice of life', 'supernatural']",['kyoto animation'],tv,7.97,603,24,769
Mahou Shoujo Lyrical Nanoha A's,"['action', 'comedy', 'drama']",['seven arcs'],tv,7.97,604,13,2358
Naruto,"['action', 'adventure', 'fantasy']",['studio pierrot'],tv,7.97,605,220,8
Noragami,"['action', 'fantasy']",['bones'],tv,7.97,606,12,21
One Piece Film: Strong World Episode 0,"['adventure', 'fantasy']",['toei animation'],ova,7.97,607,1,2075
Osomatsu-san,['comedy'],['studio pierrot'],tv,7.97,608,25,1204
Phantom: Requiem for the Phantom,"['action', 'drama', 'suspense']",['bee train'],tv,7.97,609,26,612
Quanzhi Gaoshou 2,['action'],['colored pencil animation'],ona,7.97,610,12,1733
Saint Seiya: The Lost Canvas - Meiou Shinwa,"['action', 'adventure', 'supernatural']",['tms entertainment'],ova,7.97,611,13,1757
Youjo Senki,['action'],['nut'],tv,7.97,613,12,177
Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,['sports'],['mappa'],special,7.97,614,1,2107
Mawaru Penguindrum,"['avant garde', 'comedy', 'drama', 'mystery']","['""brains base""']",tv,7.96,615,24,699
Nurarihyon no Mago: Sennen Makyou,"['action', 'supernatural']",['studio deen'],tv,7.96,616,24,1257
Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,"['action', 'adventure', 'fantasy']",['a-1 pictures'],movie,7.96,617,1,1225
Tekkon Kinkreet,"['action', 'adventure', 'supernatural']",['studio 4°c'],movie,7.96,618,1,1736
Boku no Hero Academia 4th Season,['action'],['bones'],tv,7.96,619,25,58
Dragon Ball,"['adventure', 'comedy', 'fantasy']",['toei animation'],tv,7.96,620,153,139
Fate/Grand Carnival,"['comedy', 'fantasy', 'supernatural']",['lerche'],ova,7.96,621,4,2981
Haikyuu!! Movie 1: Owari to Hajimari,['sports'],['production i.g'],movie,7.96,623,1,1988
IDOLiSH7 Vibrato,['drama'],['troyca'],ona,7.96,625,8,5045
Kobato.,"['comedy', 'drama', 'fantasy', 'romance']",['madhouse'],tv,7.96,626,24,1231
Macross F Movie 2: Sayonara no Tsubasa,"['action', 'romance', 'sci-fi']","['satelight', '8bit']",movie,7.96,627,1,3736
Macross: Do You Remember Love?,"['action', 'romance', 'sci-fi']","['artland', 'tatsunoko production']",movie,7.96,628,1,2887
Boku no Hero Academia,['action'],['bones'],tv,7.95,629,13,6
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","['drama', 'romance', 'slice of life']",['kyoto animation'],special,7.95,630,1,675
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,"['action', 'fantasy']",['silver link.'],movie,7.95,631,1,1966
Gochuumon wa Usagi Desu ka? Bloom,"['comedy', 'slice of life']",['encourage films'],tv,7.95,632,12,2566
Hanamonogatari,"['comedy', 'mystery', 'supernatural']",['shaft'],tv,7.95,633,5,466
Kindaichi Shounen no Jikenbo,['mystery'],['toei animation'],tv,7.95,634,148,3694
Kokoro Connect: Michi Random,"['drama', 'romance', 'supernatural']",['silver link.'],special,7.95,635,4,802
Kurenai no Buta,"['action', 'adventure', 'comedy', 'drama', 'romance']",['studio ghibli'],movie,7.95,636,1,938
Log Horizon,"['action', 'adventure', 'fantasy']",['satelight'],tv,7.95,637,25,113
Non Non Biyori,"['comedy', 'slice of life']",['silver link.'],tv,7.95,638,12,476
Usagi Drop Specials,['slice of life'],['production i.g'],special,7.95,639,4,2257
Wotaku ni Koi wa Muzukashii,"['comedy', 'romance', 'slice of life']",['a-1 pictures'],tv,7.95,640,11,166
xxxHOLiC Movie: Manatsu no Yoru no Yume,"['comedy', 'drama', 'mystery', 'supernatural']",['production i.g'],movie,7.95,641,1,2352
Yowamushi Pedal,"['comedy', 'drama', 'sports']",['tms entertainment'],tv,7.95,642,38,924
Mobile Suit Gundam 0080: War in the Pocket,"['drama', 'sci-fi']",['sunrise'],ova,7.94,643,6,2611
Mobile Suit Gundam Thunderbolt,"['action', 'drama', 'sci-fi']",['sunrise'],ona,7.94,644,4,2710
Nekomonogatari: Kuro,"['comedy', 'romance', 'supernatural', 'ecchi']",['shaft'],tv,7.94,645,4,355
Tamako Love Story,"['comedy', 'romance', 'slice of life']",['kyoto animation'],movie,7.94,646,1,560
Trigun: Badlands Rumble,"['action', 'adventure', 'comedy', 'drama', 'sci-fi']",['madhouse'],movie,7.94,647,1,1450
Zetsuen no Tempest,"['action', 'drama', 'fantasy', 'mystery']",['bones'],tv,7.94,648,24,321
Fate/Grand Order: Zettai Majuu Sensen Babylonia,"['action', 'fantasy', 'supernatural']",['cloverworks'],tv,7.94,649,21,837
Full Metal Panic! The Second Raid,['action'],['kyoto animation'],tv,7.94,650,13,796
Full Moon wo Sagashite,"['comedy', 'drama', 'romance', 'supernatural']",['studio deen'],tv,7.94,651,52,1724
Kimi to Boku. 2,"['comedy', 'drama', 'romance', 'slice of life']",['j.c.staff'],tv,7.94,652,13,1971
Kuuchuu Buranko,"['comedy', 'drama']",['toei animation'],tv,7.94,653,11,1941
Bishoujo Senshi Sailor Moon: Sailor Stars,"['adventure', 'comedy', 'drama', 'fantasy', 'romance']",['toei animation'],tv,7.93,654,34,1720
Bungou Stray Dogs Wan!,"['comedy', 'slice of life', 'supernatural']","['bones', 'nomad']",tv,7.93,655,12,1912
Darker than Black: Kuro no Keiyakusha Gaiden,"['action', 'mystery', 'sci-fi']",['bones'],special,7.93,656,4,807
Douluo Dalu: Chongfan Haotian,"['action', 'adventure', 'fantasy', 'romance']",['sparkly key animation studio'],ona,7.93,657,13,8352
Final Fantasy VII: Advent Children Complete,"['action', 'fantasy']",['square enix'],ova,7.93,658,1,1446
Hidamari Sketch x Honeycomb,"['comedy', 'slice of life']",['shaft'],tv,7.93,659,12,4046
Kidou Keisatsu Patlabor 2 the Movie,"['drama', 'mystery', 'sci-fi']",['production i.g'],movie,7.93,660,1,3428
Kotonoha no Niwa,"['drama', 'romance', 'slice of life']",['comix wave films'],movie,7.93,661,1,189
Love Live! The School Idol Movie,['slice of life'],['sunrise'],movie,7.93,662,1,1489
Mobile Suit Gundam Thunderbolt: December Sky,"['action', 'drama', 'sci-fi']",['sunrise'],movie,7.93,663,1,4263
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,['comedy'],['tatsunoko production'],ova,7.93,664,1,4130
Takarajima,"['adventure', 'drama', 'mystery']","['madhouse', 'tms entertainment']",tv,7.93,665,26,4460
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,['suspense'],['madhouse'],tv,7.93,666,26,1821
Umibe no Étranger,"['boys love', 'romance', 'slice of life']",['studio hibari'],movie,7.93,667,1,1449
Wotaku ni Koi wa Muzukashii OVA,"['comedy', 'romance', 'slice of life', 'sports']","['a-1 pictures', 'lapin track']",ova,7.93,668,3,1191
Yakitate!! Japan,"['comedy', 'gourmet']",['sunrise'],tv,7.93,669,69,1854
Yuru Yuri San☆Hai!,"['comedy', 'girls love', 'slice of life']",['tyo animations'],tv,7.93,670,12,1556
One Piece Film: Gold,"['action', 'adventure', 'fantasy']",['toei animation'],movie,7.92,671,1,1157
Ore Monogatari!!,"['comedy', 'romance']",['madhouse'],tv,7.92,672,24,284
Overlord,"['action', 'adventure', 'fantasy', 'supernatural']",['madhouse'],tv,7.92,673,13,72
Overlord III,"['action', 'fantasy', 'supernatural']",['madhouse'],tv,7.92,674,13,201
Plastic Memories,"['drama', 'romance', 'sci-fi']",['doga kobo'],tv,7.92,675,13,158
Quanzhi Gaoshou,['action'],['b.cmay pictures'],ona,7.92,676,12,563
Tonikaku Kawaii,"['comedy', 'romance']",['seven arcs'],tv,7.92,677,12,301
City Hunter,"['action', 'comedy', 'mystery']",['sunrise'],tv,7.92,679,51,2214
Code Geass: Fukkatsu no Lelouch,"['action', 'drama', 'sci-fi']",['sunrise'],movie,7.92,680,1,708
Eyeshield 21,['sports'],['gallop'],tv,7.92,681,145,1147
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,"['action', 'fantasy', 'supernatural']",['cloverworks'],movie,7.92,682,1,2572
Hanasaku Iroha,"['comedy', 'drama', 'slice of life']",['p.a. works'],tv,7.92,683,26,616
JoJo no Kimyou na Bouken (TV),"['action', 'adventure', 'supernatural']",['david production'],tv,7.92,684,26,65
Kaleido Star,"['comedy', 'drama', 'fantasy']","['gonzo', 'g&g entertainment']",tv,7.92,685,51,2030
Macross,"['action', 'romance', 'sci-fi']",['tatsunoko production'],tv,7.92,686,36,1775
Aria the Avvenire,"['fantasy', 'sci-fi', 'slice of life']",['tyo animations'],special,7.91,687,3,3813
Bungou Stray Dogs: Dead Apple,"['action', 'comedy', 'mystery', 'supernatural']",['bones'],movie,7.91,688,1,907
Detective Conan OVA 09: The Stranger in 10 Years...,"['adventure', 'comedy', 'mystery']",['tms entertainment'],ova,7.91,689,1,4221
Drifters,"['action', 'adventure', 'comedy', 'fantasy']",['hoods drifters studio'],tv,7.91,690,12,359
ef: A Tale of Memories.,"['drama', 'mystery', 'romance']",['shaft'],tv,7.91,691,12,810
Ergo Proxy,"['mystery', 'sci-fi']",['manglobe'],tv,7.91,692,23,304
Hidamari Sketch x ☆☆☆,"['comedy', 'slice of life']",['shaft'],tv,7.91,693,12,3739
Ie Naki Ko Remy,"['adventure', 'drama', 'slice of life']",['nippon animation'],tv,7.91,694,23,4347
Jormungand: Perfect Order,"['action', 'adventure']",['white fox'],tv,7.91,695,12,1108
Kono Oto Tomare!,"['drama', 'romance']",['platinum vision'],tv,7.91,696,13,824
Lupin III (2015),"['action', 'adventure', 'comedy', 'mystery']",['telecom animation film'],tv,7.91,697,24,2336
Ookiku Furikabutte,"['comedy', 'sports']",['a-1 pictures'],tv,7.91,698,25,1805
Princess Connect! Re:Dive Season 2,"['action', 'adventure', 'comedy', 'fantasy']",['cygamespictures'],tv,7.91,699,12,1862
Sakigake!! Cromartie Koukou,['comedy'],['production i.g'],tv,7.91,700,26,1433
Shirokuma Cafe,"['comedy', 'slice of life']",['studio pierrot'],tv,7.91,701,50,1917
Tennis no Ouji-sama: Zenkoku Taikai-hen,['sports'],['m.s.c'],ova,7.91,702,13,2855
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,['sports'],['m.s.c'],ova,7.91,703,6,3219
Ushio to Tora (TV) 2nd Season,"['action', 'adventure', 'comedy', 'supernatural']","['mappa', 'studio voln']",tv,7.91,704,13,1473
Vanitas no Karte,['supernatural'],['bones'],tv,7.91,705,12,499
Yagate Kimi ni Naru,"['drama', 'girls love', 'romance']",['troyca'],tv,7.91,706,13,692
Yuri!!! on Ice,['sports'],['mappa'],tv,7.91,707,12,174
Zoku Sayonara Zetsubou Sensei,['comedy'],['shaft'],tv,7.91,708,13,1459
Saiunkoku Monogatari,"['adventure', 'comedy', 'drama', 'fantasy', 'romance']",['madhouse'],tv,7.9,709,39,1871
School Rumble,"['comedy', 'romance']",['studio comet'],tv,7.9,710,26,618
Shijou Saikyou no Deshi Kenichi OVA,"['action', 'comedy']","['""brains base""']",ova,7.9,711,11,2553
Summer Ghost,['supernatural'],['flat studio'],movie,7.9,712,1,3117
Terra e... (TV),"['action', 'drama', 'sci-fi']","['tokyo kids', 'minami machi bugyousho']",tv,7.9,713,24,2446
Date A Live II: Kurumi Star Festival,"['romance', 'slice of life']",['production ims'],ova,7.9,714,1,1196
Death Billiards,"['drama', 'supernatural', 'suspense']",['madhouse'],movie,7.9,715,1,884
Free! Eternal Summer: Kindan no All Hard!,"['comedy', 'slice of life']",['kyoto animation'],special,7.9,716,1,1897
Gake no Ue no Ponyo,"['adventure', 'fantasy']",['studio ghibli'],movie,7.9,717,1,372
Gakuen Babysitters,"['comedy', 'slice of life']","['""brains base""']",tv,7.9,718,12,712
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['action', 'sci-fi']",['kitty film mitaka studio'],movie,7.9,719,1,3203
Ginga Sengoku Gunyuuden Rai,"['adventure', 'romance', 'sci-fi']",['e&g films'],tv,7.9,720,52,4856
Higurashi no Naku Koro ni,"['horror', 'mystery', 'supernatural', 'suspense']",['studio deen'],tv,7.9,721,26,202
Jigoku Shoujo Futakomori,"['horror', 'mystery', 'supernatural']",['studio deen'],tv,7.9,722,26,1264
Kami nomi zo Shiru Sekai II,"['comedy', 'romance', 'supernatural']",['manglobe'],tv,7.9,723,12,504
Karigurashi no Arrietty,['fantasy'],['studio ghibli'],movie,7.9,724,1,648
Macross F,"['action', 'romance', 'sci-fi']",['satelight'],tv,7.9,725,25,1346
Beastars,"['drama', 'slice of life']",['orange'],tv,7.89,726,12,208
Carole & Tuesday,"['drama', 'sci-fi']",['bones'],tv,7.89,727,24,665
Code Geass: Hangyaku no Lelouch I - Koudou,"['action', 'sci-fi']",['sunrise'],movie,7.89,728,1,1896
Megalo Box,"['sci-fi', 'sports']",['tms entertainment'],tv,7.89,729,13,396
Mobile Suit Zeta Gundam,"['drama', 'romance', 'sci-fi']",['sunrise'],tv,7.89,730,50,2310
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,"['action', 'adventure', 'fantasy']",['toei animation'],special,7.89,731,1,3369
Sekaiichi Hatsukoi OVA,"['boys love', 'comedy', 'drama', 'romance']",['studio deen'],ova,7.89,732,2,2246
Vampire Hunter D (2000),"['action', 'drama', 'fantasy', 'horror', 'romance', 'sci-fi']",['madhouse'],movie,7.89,733,1,1243
Wu Shan Wu Xing (2020),"['action', 'fantasy']","['nice boat animation', 'samsara animation studio']",ona,7.89,734,3,2948
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"['adventure', 'fantasy']",['toei animation'],special,7.88,735,1,2029
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['adventure', 'fantasy', 'romance']","['""brains base""', 'marvy jack']",ova,7.88,736,1,1230
Osomatsu-san Movie,['comedy'],['studio pierrot'],movie,7.88,737,1,5020
Sayonara Zetsubou Sensei,['comedy'],['shaft'],tv,7.88,738,12,586
Sekaiichi Hatsukoi 2,"['boys love', 'comedy', 'drama', 'romance']",['studio deen'],tv,7.88,739,12,1296
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"['boys love', 'comedy', 'drama', 'romance']",['studio deen'],movie,7.88,740,1,2369
Space☆Dandy,"['comedy', 'sci-fi']",['bones'],tv,7.88,741,13,598
Tiger & Bunny,"['action', 'comedy', 'mystery']",['sunrise'],tv,7.88,742,25,933
Zan Sayonara Zetsubou Sensei,['comedy'],['shaft'],tv,7.88,743,13,1738
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,"['action', 'adventure', 'drama', 'fantasy', 'horror', 'supernatural']",['studio 4°c'],movie,7.88,744,1,1039
Carnival Phantasm,"['comedy', 'supernatural']",['lerche'],ova,7.88,745,12,1060
Detective Conan Movie 02: The Fourteenth Target,"['adventure', 'comedy', 'mystery']",['tms entertainment'],movie,7.88,746,1,2463
Hoozuki no Reitetsu 2nd Season,"['comedy', 'fantasy', 'supernatural']",['studio deen'],tv,7.88,747,13,2869
Initial D Third Stage,"['action', 'drama', 'romance']",['studio deen'],movie,7.88,748,1,1293
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"['action', 'comedy', 'drama', 'sci-fi']",['seven arcs'],movie,7.88,750,1,3501
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"['drama', 'slice of life', 'supernatural']",['a-1 pictures'],movie,7.87,751,1,723
Beelzebub,"['action', 'comedy', 'supernatural']",['pierrot plus'],tv,7.87,752,60,326
Bishoujo Senshi Sailor Moon S,"['drama', 'romance']",['toei animation'],tv,7.87,753,38,1394
Durarara!! Specials,"['action', 'comedy', 'supernatural']","['""brains base""']",special,7.87,754,2,1197
High☆Speed! Movie: Free! Starting Days,"['drama', 'sports']",['kyoto animation'],movie,7.87,755,1,1946
Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,"['comedy', 'fantasy', 'slice of life']",['kyoto animation'],special,7.87,756,1,2695
Les Misérables: Shoujo Cosette,"['drama', 'slice of life']",['nippon animation'],tv,7.87,758,52,3725
Lupin III vs. Detective Conan: The Movie,"['action', 'comedy', 'mystery']",['tms entertainment'],movie,7.87,759,1,3574
Mobile Suit Gundam: Hathaway's Flash,"['action', 'drama', 'sci-fi']",['sunrise'],movie,7.87,760,1,3840
